,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
117,118,Marc Gasol,MEM,24,82,24,58,30.7,11.9,4.3,8.1,53.0,0.0,0.0,0.0,3.4,4.6,73.3,2.5,4.9,7.4,1.7,2.0,0.8,1.1,3.2,27.0,17,0,-4.1
118,119,Brad Miller,CHI,33,70,25,45,30.0,11.9,4.2,8.8,47.6,0.3,0.8,41.1,3.2,3.9,82.4,2.1,5.6,7.8,3.3,1.9,0.7,0.5,3.2,28.1,16,0,-1.8
119,120,Drew Gooden,SAS,27,51,26,25,24.8,11.9,4.6,9.9,46.8,0.0,0.1,0.0,2.6,3.1,84.0,2.2,4.9,7.1,0.9,1.5,0.6,0.4,2.8,23.1,12,0,-2.5
120,121,Andris Biedrins,GSW,23,62,20,42,30.0,11.9,5.0,8.6,57.8,0.0,0.0,0.0,1.9,3.5,55.1,3.6,7.6,11.2,2.0,1.8,1.0,1.5,3.8,34.1,28,0,-3.0
121,122,Roger Mason Jr.,SAS,28,82,54,28,30.4,11.8,4.3,10.0,42.5,2.0,4.8,42.1,1.3,1.4,89.0,0.2,2.9,3.1,2.1,1.2,0.5,0.1,2.0,19.3,0,0,2.7
122,123,D.J. Augustin,CHA,21,72,30,42,26.5,11.8,3.7,8.6,43.0,1.5,3.4,43.9,2.9,3.2,89.3,0.2,1.6,1.8,3.5,1.7,0.6,0.0,1.9,19.4,1,0,-0.5
123,124,Delonte West,CLE,25,64,52,12,33.6,11.7,4.5,9.8,45.7,1.4,3.6,39.9,1.4,1.7,83.3,0.5,2.7,3.2,3.5,1.4,1.5,0.2,2.0,24.4,0,0,9.5
124,125,Andrew Bogut,MIL,24,36,19,17,31.2,11.7,5.1,8.8,57.7,0.0,0.0,0.0,1.6,2.7,57.1,3.3,7.0,10.3,2.0,2.4,0.6,1.0,3.6,29.6,16,0,2.5
125,126,Rafer Alston,ORL,32,77,48,29,31.8,11.7,4.1,10.6,38.5,1.5,4.3,33.8,2.0,2.7,75.0,0.4,2.5,2.9,5.3,1.8,1.4,0.1,1.8,25.9,3,0,2.6
126,127,Kenyon Martin,DEN,31,66,42,24,32.0,11.7,4.8,9.8,49.1,0.2,0.6,36.8,1.8,3.0,60.4,1.2,4.8,6.0,2.0,1.6,1.5,1.1,3.0,28.0,5,0,2.8
