,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
112,113,Matt Harpring,UTA,33,5,1,4,9.7,4.8,2.2,4.4,50.0,0.0,0.2,0.0,0.4,0.4,100.0,0.6,1.2,1.8,0.8,0.4,0.4,0.2,2.4,9.6,0,0,0.0
113,114,Jordan Farmar,LAL,22,20,14,6,13.0,4.7,1.7,4.4,39.1,0.6,2.0,30.8,0.7,1.0,73.7,0.3,1.2,1.4,1.7,0.9,0.5,0.2,0.8,9.8,0,0,1.7
114,115,Thomas Gardner,ATL,24,3,1,2,6.3,4.7,1.7,4.3,38.5,1.0,2.0,50.0,0.3,0.3,100.0,0.0,0.7,0.7,0.7,0.0,0.3,0.0,1.3,7.5,0,0,4.7
115,116,Anthony Johnson,ORL,34,19,12,7,14.7,4.3,1.7,4.5,37.6,0.5,1.6,30.0,0.5,0.9,50.0,0.4,1.0,1.4,2.1,0.6,0.6,0.0,1.5,10.1,0,0,0.9
116,117,Bruce Bowen,SAS,38,5,1,4,26.0,4.2,1.4,2.6,53.8,1.0,1.8,55.6,0.4,0.4,100.0,0.0,3.0,3.0,0.6,0.6,0.6,0.0,2.0,9.9,0,0,1.0
117,118,Jamario Moon,MIA,29,3,2,1,13.3,4.0,1.7,1.7,100.0,0.7,0.7,100.0,0.0,0.7,0.0,1.0,2.0,3.0,0.3,0.7,0.3,0.3,1.7,9.4,0,0,-1.7
118,118,Mehmet Okur,UTA,30,2,0,2,21.7,4.0,1.0,6.0,16.7,0.5,1.5,33.3,1.5,2.0,75.0,1.0,4.0,5.0,2.0,1.0,0.0,0.5,3.0,13.5,0,0,-5.0
119,118,Ronnie Price,UTA,26,2,0,2,8.0,4.0,1.5,5.0,30.0,0.0,1.5,0.0,1.0,1.0,100.0,1.5,0.0,1.5,2.5,0.0,0.5,0.0,2.0,11.1,0,0,1.5
120,121,Joel Przybilla,POR,29,6,2,4,27.1,3.8,1.7,3.0,55.6,0.0,0.0,0.0,0.5,1.0,50.0,3.2,4.2,7.3,1.3,0.5,0.7,2.0,3.5,22.1,0,0,-6.3
121,122,Luke Walton,LAL,29,21,15,6,15.8,3.8,1.5,3.6,42.7,0.2,0.8,31.3,0.5,0.9,61.1,0.8,1.7,2.5,2.1,1.0,0.7,0.1,2.0,11.5,0,0,2.2
122,123,Jameer Nelson,ORL,27,5,1,4,18.0,3.8,1.6,4.6,34.8,0.2,1.2,16.7,0.4,0.8,50.0,0.2,1.2,1.4,2.8,1.4,0.2,0.0,0.6,8.9,0,0,-2.6
123,124,Hilton Armstrong,NOH,24,4,0,4,13.2,3.8,1.5,3.3,46.2,0.0,0.0,0.0,0.8,2.5,30.0,0.8,1.3,2.0,0.3,1.5,1.0,0.3,3.8,8.8,0,0,-7.8
124,124,Jason Maxiell,DET,26,4,0,4,16.0,3.8,1.3,2.5,50.0,0.0,0.0,0.0,1.3,2.3,55.6,1.8,1.5,3.3,0.5,0.3,0.3,0.3,1.3,9.7,0,0,-4.8
125,124,Tayshaun Prince,DET,29,4,0,4,32.2,3.8,1.8,6.8,25.9,0.3,1.3,20.0,0.0,0.0,0.0,0.3,3.3,3.5,1.3,1.3,0.3,0.0,1.0,9.3,0,0,-12.5
126,124,Tyson Chandler,NOH,26,4,1,3,23.4,3.8,1.5,3.0,50.0,0.0,0.0,0.0,0.8,1.5,50.0,2.0,3.3,5.3,0.5,2.0,0.5,0.3,4.3,11.1,0,0,-15.8
127,128,Stephon Marbury,BOS,32,14,7,7,11.9,3.7,1.4,4.7,30.3,0.2,0.9,25.0,0.6,0.6,100.0,0.1,0.8,0.9,1.8,0.7,0.1,0.0,1.1,7.0,0,0,-2.7
128,129,Wally Szczerbiak,CLE,32,12,9,3,12.9,3.6,1.3,3.0,44.4,0.2,1.0,16.7,0.8,0.9,81.8,0.7,1.7,2.3,0.6,0.8,0.2,0.1,1.6,7.3,0,0,-2.8
129,130,Jacque Vaughn,SAS,34,2,1,1,10.6,3.5,1.0,2.5,40.0,0.0,0.0,0.0,1.5,3.0,50.0,0.0,0.0,0.0,2.0,0.0,0.5,0.0,0.0,8.0,0,0,5.5
130,130,Tim Thomas,CHI,32,2,1,1,7.6,3.5,1.5,5.0,30.0,0.5,2.0,25.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.5,0.0,0.0,2.0,4.8,0,0,-1.5
131,132,CJ Miles,UTA,22,5,1,4,11.7,3.4,1.2,4.0,30.0,0.4,1.6,25.0,0.6,0.8,75.0,0.4,1.0,1.4,0.2,0.6,0.4,0.2,1.6,6.6,0,0,-4.2
132,132,Ime Udoka,SAS,31,5,1,4,20.9,3.4,1.4,4.0,35.0,0.2,1.6,12.5,0.4,1.0,40.0,1.6,3.0,4.6,0.8,0.4,0.8,0.2,2.8,12.7,0,0,2.2
133,134,Daniel Gibson,CLE,23,14,10,4,12.3,3.4,0.9,2.9,32.5,0.7,2.0,35.7,0.8,0.8,100.0,0.1,0.4,0.5,0.4,0.5,0.1,0.2,1.3,5.0,0,0,1.3
134,135,Theo Ratliff,PHI,36,6,2,4,15.7,3.3,1.5,1.8,81.8,0.0,0.0,0.0,0.3,0.7,50.0,1.0,2.8,3.8,0.0,0.7,0.2,0.7,4.0,9.8,0,0,2.8
135,136,Brent Barry,HOU,37,4,2,2,8.8,3.3,1.3,2.5,50.0,0.8,2.0,37.5,0.0,0.0,0.0,0.0,1.0,1.0,0.8,1.0,0.5,0.0,0.8,6.1,0,0,-2.5
136,136,Marcin Gortat,ORL,25,24,13,11,11.3,3.3,1.4,2.2,65.4,0.0,0.0,0.0,0.4,0.7,62.5,0.8,2.4,3.2,0.1,0.5,0.4,0.6,1.6,9.8,1,0,1.8
137,138,Sean Marks,NOH,33,5,1,4,16.1,3.2,1.2,2.6,46.2,0.0,0.2,0.0,0.8,1.0,80.0,2.0,2.0,4.0,0.0,0.4,0.6,0.4,1.8,10.6,0,0,-2.4
138,139,Channing Frye,POR,26,4,0,4,9.0,3.0,1.3,3.5,35.7,0.0,0.0,0.0,0.5,0.8,66.7,0.3,0.5,0.8,0.3,0.0,0.0,0.0,1.3,4.3,0,0,-3.5
139,139,Jerryd Bayless,POR,20,2,0,2,5.7,3.0,1.0,3.0,33.3,0.0,0.5,0.0,1.0,1.5,66.7,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,4.6,0,0,1.5
140,139,Kwame Brown,DET,27,3,0,3,16.1,3.0,1.0,2.7,37.5,0.0,0.0,0.0,1.0,1.3,75.0,2.0,3.0,5.0,0.0,1.0,0.0,1.0,4.0,11.0,0,0,-7.3
141,139,Marreese Speights,PHI,21,3,1,2,9.7,3.0,1.0,2.3,42.9,0.0,0.0,0.0,1.0,1.3,75.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.7,5.4,0,0,-7.0
142,139,Matt Bonner,SAS,29,5,1,4,19.9,3.0,1.0,4.6,21.7,0.6,2.6,23.1,0.4,0.4,100.0,1.2,2.0,3.2,0.0,0.4,0.6,0.4,2.0,9.4,0,0,-5.2
143,139,Morris Peterson,NOH,31,2,0,2,10.4,3.0,0.5,2.5,20.0,0.5,1.5,33.3,1.5,2.0,75.0,0.5,1.0,1.5,0.5,0.0,0.5,0.0,1.5,7.1,0,0,-11.5
144,139,Sasha Vujacic,LAL,25,23,16,7,10.9,3.0,1.0,4.0,26.4,0.7,2.2,31.4,0.2,0.3,83.3,0.3,1.1,1.4,0.5,0.4,0.4,0.2,1.5,6.8,0,0,0.1
145,146,Antonio Daniels,NOH,34,5,1,4,12.9,2.8,0.4,2.6,15.4,0.2,0.8,25.0,1.8,2.2,81.8,0.2,0.4,0.6,1.8,1.0,0.4,0.2,0.2,7.0,0,0,-4.4
146,147,Anthony Carter,DEN,34,16,10,6,14.2,2.8,1.3,3.1,40.8,0.1,0.8,16.7,0.1,0.3,50.0,0.7,1.3,2.0,2.1,0.7,0.9,0.1,1.7,10.7,0,0,1.5
