Name,POS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,Team
Jerami Grant,SF,3.0,5.6,53.5,0.4,1.4,29.1,2.0,3.0,67.5,2.6,4.3,61.3,1.496,0.57,81,1.0,20.3,8.4,1.1,2.9,3.9,0.7,0.4,1.0,0.7,1.9,1.1,16.19,OKC
Raymond Felton,G,2.7,6.7,40.7,1.0,2.8,35.4,0.4,0.5,81.8,1.7,3.9,44.4,1.025,0.48,82,2.0,16.6,6.9,0.3,1.6,1.9,2.5,0.6,0.2,0.9,1.1,2.7,13.11,OKC
Andre Roberson,F,2.2,4.2,53.7,0.2,0.9,22.2,0.3,1.0,31.6,2.0,3.2,62.7,1.198,0.56,39,39.0,26.6,5.0,1.9,2.8,4.7,1.2,1.2,0.9,0.8,2.3,1.5,10.9,OKC
Alex Abrines,G,1.5,3.9,39.5,1.1,2.9,38.0,0.5,0.6,84.8,0.4,0.9,44.3,1.213,0.54,75,8.0,15.1,4.7,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,1.1,9.03,OKC
Patrick Patterson,PF,1.3,3.2,39.8,0.8,2.1,38.6,0.5,0.6,87.0,0.5,1.2,42.1,1.195,0.52,82,3.0,15.5,3.9,0.4,2.0,2.4,0.7,0.6,0.3,0.4,1.1,1.7,10.0,OKC
Terrance Ferguson,SF,1.1,2.8,41.4,0.7,2.0,33.3,0.1,0.2,90.0,0.5,0.8,61.2,1.1179999999999999,0.53,61,12.0,12.5,3.1,0.3,0.5,0.8,0.3,0.4,0.2,0.2,1.4,1.7,7.43,OKC
Josh Huestis,F,0.9,2.6,33.0,0.5,1.7,28.7,0.1,0.3,30.0,0.4,1.0,40.3,0.8740000000000001,0.42,69,10.0,14.2,2.3,0.6,1.7,2.3,0.3,0.2,0.6,0.4,1.2,0.8,5.39,OKC
Nick Collison,F,0.9,1.3,68.4,0.0,0.0,0.0,0.3,0.9,38.5,0.9,1.3,68.4,1.632,0.68,15,0.0,5.0,2.1,0.5,0.9,1.3,0.3,0.0,0.0,0.5,0.5,0.6,13.29,OKC
Daniel Hamilton,F,0.8,1.8,45.5,0.3,0.8,40.0,0.0,0.0,0.0,0.5,1.0,50.0,1.091,0.55,6,0.0,4.7,2.0,0.0,0.8,0.8,1.3,0.2,0.0,0.3,0.3,4.0,18.25,OKC
Kyle Singler,F,0.6,1.8,33.3,0.2,0.4,40.0,0.6,1.1,53.8,0.4,1.3,31.3,1.095,0.38,12,0.0,4.9,1.9,0.1,0.8,0.8,0.2,0.1,0.0,0.3,0.3,0.7,5.92,OKC
Dakari Johnson,C,0.7,1.3,56.4,0.0,0.0,0.0,0.4,0.6,55.0,0.7,1.3,56.4,1.41,0.56,31,6.0,5.2,1.8,0.5,0.6,1.1,0.3,0.2,0.3,0.1,0.9,2.7,16.41,OKC
P.J. Dozier,SG,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,50.0,1.0,0.5,2,0.0,1.5,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,-4.82,OKC
Damian Lillard,PG,8.5,19.4,43.9,3.1,8.6,36.1,6.8,7.4,91.6,5.4,10.8,50.1,1.3869999999999998,0.52,73,73.0,36.6,26.9,0.8,3.6,4.5,6.6,1.1,0.4,2.8,1.6,2.3,25.19,POR
CJ McCollum,SG,8.2,18.6,44.3,2.3,5.9,39.7,2.6,3.1,83.6,5.9,12.7,46.5,1.151,0.51,81,81.0,36.1,21.4,0.7,3.3,4.0,3.4,1.0,0.4,1.9,2.1,1.8,17.0,POR
Jusuf Nurkic,C,6.1,12.0,50.5,0.0,0.1,0.0,2.2,3.5,63.0,6.1,11.9,50.8,1.19,0.5,79,79.0,26.4,14.3,2.4,6.6,9.0,1.8,0.8,1.4,2.3,3.1,0.8,19.28,POR
Al-Farouq Aminu,SF,3.3,8.4,39.5,1.8,4.9,36.9,0.9,1.2,73.8,1.5,3.5,43.2,1.107,0.5,69,67.0,30.0,9.3,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2.0,1.1,12.02,POR
Shabazz Napier,G,3.0,7.2,42.0,1.1,2.9,37.6,1.6,1.9,84.1,1.9,4.2,45.0,1.213,0.5,74,9.0,20.7,8.7,0.4,1.9,2.3,2.0,1.1,0.2,1.2,1.1,1.7,14.18,POR
Evan Turner,G,3.3,7.3,44.7,0.5,1.7,31.8,1.2,1.4,85.0,2.7,5.6,48.5,1.125,0.48,79,40.0,25.7,8.2,0.4,2.7,3.1,2.2,0.6,0.4,1.3,2.1,1.7,9.88,POR
Maurice Harkless,SF,2.5,5.0,49.5,0.8,2.0,41.5,0.7,1.0,71.2,1.7,3.0,54.7,1.296,0.58,59,37.0,21.4,6.5,0.8,2.0,2.7,0.9,0.8,0.7,0.7,1.7,1.3,12.59,POR
Wade Baldwin IV,G,2.0,3.0,66.7,0.6,0.7,80.0,0.9,1.4,60.0,1.4,2.3,62.5,1.81,0.76,7,0.0,11.4,5.4,0.1,1.0,1.1,0.7,0.3,0.1,0.6,1.7,1.3,16.59,POR
Pat Connaughton,SG,2.0,4.8,42.3,0.9,2.6,35.2,0.5,0.5,84.1,1.1,2.2,50.6,1.131,0.52,82,5.0,18.1,5.4,0.4,1.5,2.0,1.1,0.3,0.3,0.5,1.5,2.1,9.35,POR
Ed Davis,C,2.2,3.7,58.2,0.0,0.0,0.0,0.9,1.4,66.7,2.2,3.7,58.4,1.4180000000000001,0.58,78,0.0,18.9,5.3,2.3,5.0,7.4,0.5,0.4,0.7,0.8,2.4,0.6,15.55,POR
Zach Collins,PF,1.7,4.4,39.8,0.5,1.7,31.0,0.4,0.6,64.3,1.2,2.7,45.5,1.01,0.46,66,1.0,15.8,4.4,0.7,2.7,3.3,0.8,0.3,0.5,0.9,2.0,0.9,7.56,POR
Noah Vonleh,F,1.4,2.9,49.0,0.1,0.2,33.3,0.7,0.9,74.2,1.4,2.7,50.0,1.24,0.5,33,12.0,14.4,3.6,1.1,4.0,5.1,0.4,0.2,0.3,0.5,1.3,0.9,11.98,POR
